electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0.006,0.00017,-0.004,0.00065
0.006,0.00017,-0.004,0.00065
0.006,0.00017,-0.004,0.00065
0.0036,0.00013,-0.00343,0.002
0.0036,0.00013,-0.00343,0.002
0.0036,0.00013,-0.00343,0.002
0.0036,0.00013,-0.00343,0.002
0.0032,0.0,-0.00343,0.003
0.0032,0.0,-0.00343,0.003
0.0032,0.0,-0.00343,0.003
0.0032,0.0,-0.00343,0.003
0.00065,-0.00153,-0.00203,0.00065
0.00065,-0.00153,-0.00203,0.00065
0.00065,-0.00153,-0.00203,0.00065
0.00065,-0.00153,-0.00203,0.00065
0.0001,-0.00231,-0.002,0.00065
0.0001,-0.00231,-0.002,0.00065
0.0001,-0.00231,-0.002,0.00065
0.0001,-0.00231,-0.002,0.00065
9e-05,-0.0038,-0.00151,0.001
9e-05,-0.0038,-0.00151,0.001
9e-05,-0.0038,-0.00151,0.001
9e-05,-0.0038,-0.00151,0.001
0.00017,-0.004,-0.00151,0.00744
0.00017,-0.004,-0.00151,0.00744
0.00017,-0.004,-0.00151,0.00744
0.00017,-0.004,-0.00151,0.00744
0.00013,-0.00343,2e-05,0.02
0.00013,-0.00343,2e-05,0.02
0.00013,-0.00343,2e-05,0.02
0.00013,-0.00343,2e-05,0.02
0.0,-0.00343,0.02546,0.04016
0.0,-0.00343,0.02546,0.04016
0.0,-0.00343,0.02546,0.04016
0.0,-0.00343,0.02546,0.04016
-0.00153,-0.00203,0.03501,0.00015
-0.00153,-0.00203,0.03501,0.00015
-0.00153,-0.00203,0.03501,0.00015
-0.00153,-0.00203,0.03501,0.00015
-0.00231,-0.002,0.02563,-1e-05
-0.00231,-0.002,0.02563,-1e-05
-0.00231,-0.002,0.02563,-1e-05
-0.00231,-0.002,0.02563,-1e-05
-0.0038,-0.00151,0.01063,-0.0001
-0.0038,-0.00151,0.01063,-0.0001
-0.0038,-0.00151,0.01063,-0.0001
-0.0038,-0.00151,0.01063,-0.0001
-0.004,-0.00151,0.00065,-0.0001
-0.004,-0.00151,0.00065,-0.0001
-0.004,-0.00151,0.00065,-0.0001
-0.004,-0.00151,0.00065,-0.0001
-0.00343,2e-05,0.002,-0.0001
-0.00343,2e-05,0.002,-0.0001
-0.00343,2e-05,0.002,-0.0001
-0.00343,2e-05,0.002,-0.0001
-0.00343,0.02546,0.003,-2e-05
-0.00343,0.02546,0.003,-2e-05
-0.00343,0.02546,0.003,-2e-05
-0.00343,0.02546,0.003,-2e-05
-0.00203,0.03501,0.00065,0.0
-0.00203,0.03501,0.00065,0.0
-0.00203,0.03501,0.00065,0.0
-0.00203,0.03501,0.00065,0.0
-0.002,0.02563,0.00065,2e-05
-0.002,0.02563,0.00065,2e-05
-0.002,0.02563,0.00065,2e-05
-0.002,0.02563,0.00065,2e-05
-0.00151,0.01063,0.001,0.00012
-0.00151,0.01063,0.001,0.00012
-0.00151,0.01063,0.001,0.00012
-0.00151,0.01063,0.001,0.00012
-0.00151,0.00065,0.00744,0.0002
-0.00151,0.00065,0.00744,0.0002
-0.00151,0.00065,0.00744,0.0002
-0.00151,0.00065,0.00744,0.0002
2e-05,0.002,0.02,0.055
2e-05,0.002,0.02,0.055
2e-05,0.002,0.02,0.055
2e-05,0.002,0.02,0.055
0.02546,0.003,0.04016,0.14679
0.02546,0.003,0.04016,0.14679
0.02546,0.003,0.04016,0.14679
0.02546,0.003,0.04016,0.14679
0.03501,0.00065,0.00015,0.19725
0.03501,0.00065,0.00015,0.19725
0.03501,0.00065,0.00015,0.19725
0.03501,0.00065,0.00015,0.19725
0.02563,0.00065,-1e-05,0.11985
0.02563,0.00065,-1e-05,0.11985
0.02563,0.00065,-1e-05,0.11985
0.02563,0.00065,-1e-05,0.11985
0.01063,0.001,-0.0001,0.09501
0.01063,0.001,-0.0001,0.09501
0.01063,0.001,-0.0001,0.09501
0.01063,0.001,-0.0001,0.09501
0.00065,0.00744,-0.0001,0.09
0.00065,0.00744,-0.0001,0.09
0.00065,0.00744,-0.0001,0.09
0.00065,0.00744,-0.0001,0.09
0.002,0.02,-0.0001,0.07578
0.002,0.02,-0.0001,0.07578
0.002,0.02,-0.0001,0.07578
0.002,0.02,-0.0001,0.07578
0.003,0.04016,-2e-05,0.07003
0.003,0.04016,-2e-05,0.07003
0.003,0.04016,-2e-05,0.07003
0.003,0.04016,-2e-05,0.07003
0.00065,0.00015,0.0,0.06048
0.00065,0.00015,0.0,0.06048
0.00065,0.00015,0.0,0.06048
0.00065,0.00015,0.0,0.06048
0.00065,-1e-05,2e-05,0.06159
0.00065,-1e-05,2e-05,0.06159
0.00065,-1e-05,2e-05,0.06159
0.00065,-1e-05,2e-05,0.06159
0.001,-0.0001,0.00012,0.0682
0.001,-0.0001,0.00012,0.0682
0.001,-0.0001,0.00012,0.0682
0.001,-0.0001,0.00012,0.0682
0.00744,-0.0001,0.0002,0.0842
0.00744,-0.0001,0.0002,0.0842
0.00744,-0.0001,0.0002,0.0842
0.00744,-0.0001,0.0002,0.0842
0.02,-0.0001,0.055,0.1555
0.02,-0.0001,0.055,0.1555
0.02,-0.0001,0.055,0.1555
0.02,-0.0001,0.055,0.1555
0.04016,-2e-05,0.14679,0.15937
0.04016,-2e-05,0.14679,0.15937
0.04016,-2e-05,0.14679,0.15937
0.04016,-2e-05,0.14679,0.15937
0.00015,0.0,0.19725,0.08797
0.00015,0.0,0.19725,0.08797
0.00015,0.0,0.19725,0.08797
0.00015,0.0,0.19725,0.08797
-1e-05,2e-05,0.11985,0.0381
-1e-05,2e-05,0.11985,0.0381
-1e-05,2e-05,0.11985,0.0381
-1e-05,2e-05,0.11985,0.0381
