month,minutes,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
4,15,15,6,True,0,0,0,0.2528,0,0,0,0
4,30,15,6,True,0,0,0,0.0,0,0,0,0
4,45,15,6,True,0,0,0,0.0,0,0,0,0
4,0,16,6,True,0,0,0,0.0002,0,0,0,0
4,15,16,6,True,0,0,0,0.0003,0,0,0,0
4,30,16,6,True,0,0,0,0.0,0,0,0,0
4,45,16,6,True,0,0,0,0.0,0,0,0,0
4,0,17,6,True,0,0,0,0.0,0,0,0,0
4,15,17,6,True,0,0,0,0.0,0,0,0,0
4,30,17,6,True,0,0,0,0.0,0,0,0,0
4,45,17,6,True,0,0,0,0.0086,0,0,0,0
4,0,18,6,True,0,0,0,0.0277,0,0,0,0
4,15,18,6,True,0,0,0,0.0806,0,0,0,0
4,30,18,6,True,0,0,0,0.0959,0,0,0,0
4,45,18,6,True,0,0,0,0.0948,0,0,0,0
4,0,19,6,True,0,0,0,0.09040000000000001,0,0,0,0
4,15,19,6,True,0,0,0,0.08549999999999999,0,0,0,0
4,30,19,6,True,0,0,0,0.1012,0,0,0,0
4,45,19,6,True,0,0,0,0.1036,0,0,0,0
4,0,20,6,True,0,0,0,0.11180000000000001,0,0,0,0
4,15,20,6,True,0,0,0,0.282,0,0,0,0
4,30,20,6,True,0,0,0,0.1437,0,0,0,0
4,45,20,6,True,0,0,0,0.2074,0,0,0,0
4,0,21,6,True,0,0,0,0.1187,0,0,0,0
4,15,21,6,True,0,0,0,0.083,0,0,0,0
4,30,21,6,True,0,0,0,0.0974,0,0,0,0
4,45,21,6,True,0,0,0,0.1199,0,0,0,0
4,0,22,6,True,0,0,0,0.0885,0,0,0,0
4,15,22,6,True,0,0,0,0.0824,0,0,0,0
4,30,22,6,True,0,0,0,0.094,0,0,0,0
4,45,22,6,True,0,0,0,0.0885,0,0,0,0
4,0,23,6,True,0,0,0,0.0693,0,0,0,0
4,15,23,6,True,0,0,0,0.06820000000000001,0,0,0,0
4,30,23,6,True,0,0,0,0.0672,0,0,0,0
4,45,23,6,True,0,0,0,0.0589,0,0,0,0
4,0,0,0,True,0,0,0,0.0632,0,0,0,0
4,15,0,0,True,0,0,0,0.0631,0,0,0,0
4,30,0,0,True,0,0,0,0.0681,0,0,0,0
4,45,0,0,True,0,0,0,0.0613,0,0,0,0
4,0,1,0,True,0,0,0,0.058399999999999994,0,0,0,0
4,15,1,0,True,0,0,0,0.0619,0,0,0,0
4,30,1,0,True,0,0,0,0.0653,0,0,0,0
4,45,1,0,True,0,0,0,0.0658,0,0,0,0
4,0,2,0,True,0,0,0,0.032299999999999995,0,0,0,0
4,15,2,0,True,0,0,0,0.0291,0,0,0,0
4,30,2,0,True,0,0,0,0.0335,0,0,0,0
4,45,2,0,True,0,0,0,0.0375,0,0,0,0
4,0,3,0,True,0,0,0,0.0304,0,0,0,0
4,15,3,0,True,0,0,0,0.0243,0,0,0,0
4,30,3,0,True,0,0,0,0.032100000000000004,0,0,0,0
4,45,3,0,True,0,0,0,0.0365,0,0,0,0
4,0,4,0,True,0,0,0,0.0348,0,0,0,0
4,15,4,0,True,0,0,0,0.025599999999999998,0,0,0,0
4,30,4,0,True,0,0,0,0.027499999999999997,0,0,0,0
4,45,4,0,True,0,0,0,0.0342,0,0,0,0
4,0,5,0,True,0,0,0,0.0369,0,0,0,0
4,15,5,0,True,0,0,0,0.0299,0,0,0,0
4,30,5,0,True,0,0,0,0.0241,0,0,0,0
4,45,5,0,True,0,0,0,0.03,0,0,0,0
4,0,6,0,True,0,0,0,0.0365,0,0,0,0
4,15,6,0,True,0,0,0,0.0333,0,0,0,0
4,30,6,0,True,0,0,0,0.0239,0,0,0,0
4,45,6,0,True,0,0,0,0.0225,0,0,0,0
4,0,7,0,True,0,0,0,0.0448,0,0,0,0
4,15,7,0,True,0,0,0,0.09519999999999999,0,0,0,0
4,30,7,0,True,0,0,0,0.0216,0,0,0,0
4,45,7,0,True,0,0,0,0.0228,0,0,0,0
4,0,8,0,True,0,0,0,0.032799999999999996,0,0,0,0
4,15,8,0,True,0,0,0,0.0225,0,0,0,0
4,30,8,0,True,0,0,0,0.0169,0,0,0,0
4,45,8,0,True,0,0,0,0.0213,0,0,0,0
4,0,9,0,True,0,0,0,0.0621,0,0,0,0
4,15,9,0,True,0,0,0,0.143,0,0,0,0
4,30,9,0,True,0,0,0,0.07940000000000001,0,0,0,0
4,45,9,0,True,0,0,0,0.0496,0,0,0,0
