electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0.133,0.092,0.147,0.138
0.128,0.092,0.147,0.12
0.093,0.093,0.13,0.11
0.093,0.097,0.122,0.096
0.093,0.119,0.115,0.094
0.092,0.133,0.12,0.094
0.092,0.147,0.121,0.093
0.092,0.147,0.126,0.09
0.093,0.13,0.127,0.096
0.097,0.122,0.118,0.112
0.119,0.115,0.128,0.121
0.133,0.12,0.135,0.141
0.147,0.121,0.138,0.149
0.147,0.126,0.12,0.143
0.13,0.127,0.11,0.129
0.122,0.118,0.096,0.127
0.115,0.128,0.094,0.126
0.12,0.135,0.094,0.125
0.121,0.138,0.093,0.12
0.126,0.12,0.09,0.125
0.127,0.11,0.096,0.124
0.118,0.096,0.112,0.116
0.128,0.094,0.121,0.113
0.135,0.094,0.141,0.119
0.138,0.093,0.149,0.113
0.12,0.09,0.143,0.105
0.11,0.096,0.129,0.087
0.096,0.112,0.127,0.07
0.094,0.121,0.126,0.042
0.094,0.141,0.125,0.054
0.093,0.149,0.12,0.04
0.09,0.143,0.125,0.056
0.096,0.129,0.124,0.081
0.112,0.127,0.116,0.09
0.121,0.126,0.113,0.113
0.141,0.125,0.119,0.132
0.149,0.12,0.113,0.145
0.143,0.125,0.105,0.15
0.129,0.124,0.087,0.133
0.127,0.116,0.07,0.128
0.126,0.113,0.042,0.126
0.125,0.119,0.054,0.121
0.12,0.113,0.04,0.112
0.125,0.105,0.056,0.111
0.124,0.087,0.081,0.109
0.116,0.07,0.09,0.109
0.113,0.042,0.113,0.114
0.119,0.054,0.132,0.126
0.113,0.04,0.145,0.124
0.105,0.056,0.15,0.097
0.087,0.081,0.133,0.053
0.07,0.09,0.128,0.035
0.042,0.113,0.126,0.035
0.054,0.132,0.121,0.037
0.04,0.145,0.112,0.035
0.056,0.15,0.111,0.06
0.081,0.133,0.109,0.062
0.09,0.128,0.109,0.091
0.113,0.126,0.114,0.12
0.132,0.121,0.126,0.13
0.145,0.112,0.124,0.137
0.15,0.111,0.097,0.142
0.133,0.109,0.053,0.137
0.128,0.109,0.035,0.13
0.126,0.114,0.035,0.122
0.121,0.126,0.037,0.113
0.112,0.124,0.035,0.1
0.111,0.097,0.06,0.098
0.109,0.053,0.062,0.097
0.109,0.035,0.091,0.099
0.114,0.035,0.12,0.123
0.126,0.037,0.13,0.137
0.124,0.035,0.137,0.144
0.097,0.06,0.142,0.128
0.053,0.062,0.137,0.105
0.035,0.091,0.13,0.092
0.035,0.12,0.122,0.09
0.037,0.13,0.113,0.087
0.035,0.137,0.1,0.088
0.06,0.142,0.098,0.09
0.062,0.137,0.097,0.093
0.091,0.13,0.099,0.103
0.12,0.122,0.123,0.13
0.13,0.113,0.137,0.145
0.137,0.1,0.144,0.16
0.142,0.098,0.128,0.142
0.137,0.097,0.105,0.132
0.13,0.099,0.092,0.128
0.122,0.123,0.09,0.126
0.113,0.137,0.087,0.122
0.1,0.144,0.088,0.112
0.098,0.128,0.09,0.117
0.097,0.105,0.093,0.124
0.099,0.092,0.103,0.128
0.123,0.09,0.13,0.129
0.137,0.087,0.145,0.133
0.144,0.088,0.16,0.134
0.128,0.09,0.142,0.126
0.105,0.093,0.132,0.108
0.092,0.103,0.128,0.091
0.09,0.13,0.126,0.09
0.087,0.145,0.122,0.088
0.088,0.16,0.112,0.074
0.09,0.142,0.117,0.064
0.093,0.132,0.124,0.064
0.103,0.128,0.128,0.07
0.13,0.126,0.129,0.092
0.145,0.122,0.133,0.124
0.16,0.112,0.134,0.13
0.142,0.117,0.126,0.125
0.132,0.124,0.108,0.114
0.128,0.128,0.091,0.093
0.126,0.129,0.09,0.085
0.122,0.133,0.088,0.084
0.112,0.134,0.074,0.084
0.117,0.126,0.064,0.086
0.124,0.108,0.064,0.09
0.128,0.091,0.07,0.092
0.129,0.09,0.092,0.118
0.133,0.088,0.124,0.124
0.134,0.074,0.13,0.129
0.126,0.064,0.125,0.125
0.108,0.064,0.114,0.092
0.091,0.07,0.093,0.085
0.09,0.092,0.085,0.084
0.088,0.124,0.084,0.084
0.074,0.13,0.084,0.083
0.064,0.125,0.086,0.082
0.064,0.114,0.09,0.084
0.07,0.093,0.092,0.092
0.092,0.085,0.118,0.111
0.124,0.084,0.124,0.13
0.13,0.084,0.129,0.139
0.125,0.086,0.125,0.132
0.114,0.09,0.092,0.124
0.093,0.092,0.085,0.119
0.085,0.118,0.084,0.103
0.084,0.124,0.084,0.091
0.084,0.129,0.083,0.099
0.086,0.125,0.082,0.103
0.09,0.092,0.084,0.101
0.092,0.085,0.092,0.105
0.118,0.084,0.111,0.103
0.124,0.084,0.13,0.12
0.129,0.083,0.139,0.124
0.125,0.082,0.132,0.112
0.092,0.084,0.124,0.087
0.085,0.092,0.119,0.084
0.084,0.111,0.103,0.082
0.084,0.13,0.091,0.081
0.083,0.139,0.099,0.08
0.082,0.132,0.103,0.083
0.084,0.124,0.101,0.083
0.092,0.119,0.105,0.085
0.111,0.103,0.103,0.112
0.13,0.091,0.12,0.135
0.139,0.099,0.124,0.139
0.132,0.103,0.112,0.129
0.124,0.101,0.087,0.122
0.119,0.105,0.084,0.112
0.103,0.103,0.082,0.118
0.091,0.12,0.081,0.116
0.099,0.124,0.08,0.113
0.103,0.112,0.083,0.112
0.101,0.087,0.083,0.106
0.105,0.084,0.085,0.098
0.103,0.082,0.112,0.113
0.12,0.081,0.135,0.121
0.124,0.08,0.139,0.123
0.112,0.083,0.129,0.112
0.087,0.083,0.122,0.094
0.084,0.085,0.112,0.085
0.082,0.112,0.118,0.084
0.081,0.135,0.116,0.083
0.08,0.139,0.113,0.081
0.083,0.129,0.112,0.081
0.083,0.122,0.106,0.084
0.085,0.112,0.098,0.088
0.112,0.118,0.113,0.112
0.135,0.116,0.121,0.119
0.139,0.113,0.123,0.13
0.129,0.112,0.112,0.122
0.122,0.106,0.094,0.117
0.112,0.098,0.085,0.112
0.118,0.113,0.084,0.116
0.116,0.121,0.083,0.113
0.113,0.123,0.081,0.1
0.112,0.112,0.081,0.099
0.106,0.094,0.084,0.099
0.098,0.085,0.088,0.1
0.113,0.084,0.112,0.109
0.121,0.083,0.119,0.113
0.123,0.081,0.13,0.114
0.112,0.081,0.122,0.1
0.094,0.084,0.117,0.085
0.085,0.088,0.112,0.08
0.084,0.112,0.116,0.065
0.083,0.119,0.113,0.075
0.081,0.13,0.1,0.073
0.081,0.122,0.099,0.06
0.084,0.117,0.099,0.074
0.088,0.112,0.1,0.086
0.112,0.116,0.109,0.102
0.119,0.113,0.113,0.118
0.13,0.1,0.114,0.125
0.122,0.099,0.1,0.125
0.117,0.099,0.085,0.121
0.112,0.1,0.08,0.12
0.116,0.109,0.065,0.121
0.113,0.113,0.075,0.119
0.1,0.114,0.073,0.115
0.099,0.1,0.06,0.12
0.099,0.085,0.074,0.115
0.1,0.08,0.086,0.115
0.109,0.065,0.102,0.115
0.113,0.075,0.118,0.118
0.114,0.073,0.125,0.115
0.1,0.06,0.125,0.102
0.085,0.074,0.121,0.085
0.08,0.086,0.12,0.075
0.065,0.102,0.121,0.069
0.075,0.118,0.119,0.055
0.073,0.125,0.115,0.054
0.06,0.125,0.12,0.07
0.074,0.121,0.115,0.079
0.086,0.12,0.115,0.087
0.102,0.121,0.115,0.116
0.118,0.119,0.118,0.139
0.125,0.115,0.115,0.131
0.125,0.12,0.102,0.129
0.121,0.115,0.085,0.126
0.12,0.115,0.075,0.118
0.121,0.115,0.069,0.125
0.119,0.118,0.055,0.125
0.115,0.115,0.054,0.12
0.12,0.102,0.07,0.12
0.115,0.085,0.079,0.12
0.115,0.075,0.087,0.121
0.115,0.069,0.116,0.125
0.118,0.055,0.139,0.131
0.115,0.054,0.131,0.134
0.102,0.07,0.129,0.125
0.085,0.079,0.126,0.111
0.075,0.087,0.118,0.105
0.069,0.116,0.125,0.099
0.055,0.139,0.125,0.093
